,index,location,bhk,total_sqft,bath,price,encoded_location
36,42,others,1,600.0,1.0,38.0,230
37,43,Yelahanka,1,660.0,1.0,48.0,226
38,44,Kanakpura Road,2,1330.74,2.0,91.79,127
39,46,Doddathoguru,2,970.0,2.0,33.0,70
40,47,Whitefield,2,1459.0,2.0,94.82,224
41,49,others,2,869.0,2.0,36.0,230
42,50,others,2,1270.0,2.0,50.0,230
43,51,Bhoganhalli,3,1670.0,3.0,99.0,43
44,52,Whitefield,3,2010.0,3.0,91.0,224
45,53,Lakshminarayana Pura,2,1185.0,2.0,75.0,153
46,54,Yelahanka,3,1600.0,2.0,75.0,226
47,55,Begur Road,2,1200.0,2.0,44.0,39
48,56,Devanahalli,4,3210.0,2.0,192.0,65
49,59,others,2,840.0,2.0,45.0,230
50,60,others,3,4395.0,3.0,240.0,230
51,61,others,2,845.0,2.0,55.0,230
52,63,Varthur,2,1160.0,2.0,44.0,217
53,65,Doddathoguru,2,1100.0,2.0,62.0,70
54,66,Gunjur,2,1140.0,2.0,43.0,85
55,67,Marathahalli,2,1220.0,2.0,57.0,161
56,69,Kanakpura Road,2,1005.0,2.0,36.68,127
57,71,Begur Road,2,1358.0,2.0,80.58,39
58,72,Hegde Nagar,3,1569.0,3.0,101.0,94
59,73,Haralur Road,2,1240.0,2.0,70.0,90
60,74,Hennur Road,3,2089.0,3.0,140.0,96
61,75,Kothannur,2,1206.0,2.0,48.23,145
62,76,Kalena Agrahara,2,1150.0,2.0,40.0,121
63,77,others,3,2511.0,3.0,205.0,230
64,79,ISRO Layout,6,4400.0,6.0,250.0,106
65,80,others,3,1660.0,2.0,105.0,230
66,81,Hennur Road,4,3203.5,2.0,224.5,96
67,82,Yelahanka,2,1326.0,2.0,78.0,226
68,83,Garudachar Palya,3,1325.0,2.0,60.8,79
69,85,Hegde Nagar,6,3000.0,7.0,210.0,94
70,86,Kanakpura Road,3,1665.0,3.0,88.0,127
71,87,Dasanapura,2,708.0,2.0,37.0,63
72,88,Kasavanhalli,2,1060.0,2.0,58.06,130
73,90,Sanjay nagar,2,1000.0,2.0,70.0,191
74,92,others,3,1450.0,2.0,70.0,230
75,94,Thanisandra,2,1296.0,2.0,80.0,209
76,95,Domlur,3,1540.0,3.0,90.0,71
77,97,Sarjapura - Attibele Road,3,1330.0,2.0,48.0,195
78,98,others,2,1200.0,2.0,65.0,230
79,99,others,3,1200.0,3.0,90.0,230
80,100,Yeshwanthpur,3,2502.0,3.0,138.0,229
81,102,Kothanur,3,2400.0,2.0,150.0,146
82,103,others,2,1007.0,2.0,43.0,230
83,104,others,2,1200.0,2.0,50.0,230
84,105,others,2,966.0,2.0,49.9,230
85,106,Nagarbhavi,3,1630.0,2.0,98.0,169
86,108,others,2,782.0,2.0,55.68,230
87,109,Devanahalli,2,1260.0,2.0,66.78,65
88,110,others,3,1800.0,3.0,120.0,230
89,111,others,3,1413.0,2.0,75.0,230
90,112,Whitefield,2,1116.0,2.0,51.91,224
91,113,Electronic City,3,1530.0,2.0,45.9,74
92,114,Ramamurthy Nagar,4,3700.0,4.0,225.0,188
93,115,Sarjapur  Road,3,2497.0,3.0,140.0,194
94,116,Kengeri,3,1540.0,2.0,64.0,135
95,117,Thanisandra,3,1436.0,3.0,74.75,209
96,118,Malleshwaram,2,1100.0,2.0,75.0,160
97,123,Shampura,4,2650.0,4.0,150.0,199
98,124,Devanahalli,3,1282.0,2.0,68.52,65
99,125,Kadugodi,2,1050.0,2.0,34.0,117
100,126,LB Shastri Nagar,3,1600.0,3.0,65.0,151
101,127,others,2,945.0,2.0,54.0,230
102,128,Hormavu,2,1500.0,2.0,78.0,100
103,130,others,3,1870.0,3.0,110.0,230
104,131,Sarjapur,3,1600.0,3.0,75.0,193
105,134,Kudlu Gate,3,1535.0,3.0,83.0,148
106,135,Kanakpura Road,2,950.0,2.0,57.0,127
107,136,Devanahalli,2,1360.0,2.0,65.0,65
108,137,8th Phase JP Nagar,2,1073.5,2.0,54.005,7
109,138,Bommasandra Industrial Area,3,1280.0,3.0,50.4,49
110,139,others,3,1260.0,2.0,85.05,230
111,141,Yelahanka,5,3050.0,5.0,213.0,226
112,142,Kasavanhalli,3,1563.05,3.0,105.0,130
113,143,ISRO Layout,2,1000.0,2.0,60.0,106
114,144,Anandapura,2,1167.0,2.0,43.76,15
115,146,Kothanur,3,1828.0,3.0,110.0,146
116,147,Kengeri Satellite Town,2,890.0,2.0,35.0,136
117,150,Mysore Road,3,1710.0,4.0,91.31,166
118,151,Kannamangala,2,957.0,2.0,58.0,128
119,152,Devarachikkanahalli,3,1250.0,2.0,44.0,66
120,154,Hulimavu,2,1125.0,2.0,50.0,105
121,155,Electronic City Phase II,2,1020.0,2.0,30.6,75
122,156,Kalena Agrahara,2,1200.0,2.0,50.0,121
123,157,Thanisandra,3,1735.0,3.0,135.0,209
124,158,Thanisandra,3,2050.0,3.0,145.0,209
125,160,others,3,1350.0,2.0,48.0,230
126,161,Hosa Road,2,1063.0,2.0,32.0,101
127,162,others,3,1904.0,3.0,150.0,230
128,165,Sarjapur,2,1242.5,2.0,43.49,193
129,166,others,3,1425.0,2.0,75.0,230
130,167,Electronic City,3,1500.0,2.0,64.5,74
131,168,Electronic City,2,1060.0,2.0,60.0,74
132,169,others,3,1470.0,2.0,70.0,230
133,172,Electronic City,2,1152.0,2.0,64.5,74
134,173,Electronic City,3,1350.0,2.0,56.0,74
135,174,CV Raman Nagar,3,1550.0,3.0,65.0,53
136,175,others,3,1500.0,3.0,100.0,230
137,177,Nagavara,1,400.0,1.0,14.0,171
138,179,Electronic City,2,770.0,1.0,36.0,74
139,180,Hulimavu,2,1242.0,2.0,51.0,105
140,182,Thanisandra,3,2144.0,3.0,145.0,209
141,183,Vijayanagar,3,1704.0,3.0,110.0,220
142,184,Electronic City,2,1070.0,2.0,52.0,74
143,186,others,2,1340.0,2.0,55.7,230
144,187,Electronic City,2,1025.0,2.0,46.0,74
145,188,KR Puram,2,1277.5,2.0,56.8,115
146,189,Marathahalli,2,1200.0,2.0,52.0,161
147,190,Kanakpura Road,4,2250.0,4.0,110.0,127
148,191,others,3,1550.0,2.0,80.0,230
149,194,Marathahalli,2,1200.0,2.0,60.0,161
150,195,Yelahanka,2,1327.0,2.0,98.0,226
151,196,Kothanur,2,1186.0,2.0,58.0,146
152,197,others,3,1783.0,3.0,115.0,230
153,198,HSR Layout,3,1400.0,3.0,56.0,89
154,199,Nagasandra,2,980.0,2.0,48.0,170
155,200,EPIP Zone,2,1285.0,2.0,82.0,73
156,201,others,3,912.0,2.0,70.0,230
157,202,Whitefield,2,1225.0,2.0,47.6,224
158,203,Whitefield,2,1075.0,2.0,53.0,224
159,204,Kadugodi,3,1260.0,2.0,54.0,117
160,205,Yelahanka,3,1282.0,2.0,48.7,226
161,206,Kogilu,3,1909.0,3.0,88.0,142
162,207,Panathur,2,1359.0,2.0,87.0,180
163,208,others,2,1207.0,2.0,43.5,230
164,211,Kammasandra,3,1595.0,3.0,65.0,125
165,212,others,3,1798.0,3.0,89.0,230
166,213,Electronics City Phase 1,3,1475.0,3.0,78.29,76
167,214,others,3,1580.0,3.0,100.0,230
168,215,Dasarahalli,2,1295.0,2.0,65.0,64
169,216,Magadi Road,6,3600.0,6.0,141.0,155
170,217,Electronic City,1,589.0,1.0,27.0,74
171,218,others,3,1415.0,3.0,78.0,230
172,219,Sarjapur  Road,3,1787.0,3.0,98.29,194
173,220,Sarjapur  Road,3,1787.0,3.0,125.0,194
174,221,Koramangala,3,1475.0,2.0,90.0,144
175,222,others,4,2000.0,4.0,75.5,230
176,223,Sarjapur  Road,2,984.0,2.0,44.28,194
177,224,Devanahalli,3,1630.0,2.0,74.82,65
178,226,7th Phase JP Nagar,2,1080.0,2.0,72.0,6
179,227,others,2,1500.0,2.0,115.0,230
180,228,Hebbal,3,1900.0,3.0,119.0,92
181,230,Budigere,2,1153.0,2.0,56.4,52
182,231,others,2,1148.0,2.0,60.0,230
183,232,others,2,1110.0,2.0,55.0,230
184,233,Electronic City,2,1100.0,2.0,42.0,74
185,235,others,3,1500.0,2.0,65.0,230
186,236,others,2,1080.0,2.0,39.0,230
187,237,Vijayanagar,3,1933.0,3.0,129.0,220
188,238,Ramamurthy Nagar,5,3500.0,5.0,150.0,188
189,239,others,2,1060.0,2.0,60.0,230
190,243,others,3,1644.0,3.0,84.0,230
191,244,others,2,1285.0,2.0,72.5,230
192,245,Electronic City,3,1200.0,3.0,90.0,74
193,246,Electronic City,2,910.0,2.0,40.0,74
194,247,Kothanur,3,1577.0,3.0,70.0,146
195,248,others,3,4050.0,3.0,280.0,230
196,249,OMBR Layout,3,2420.0,3.0,185.0,175
197,251,others,2,1060.0,2.0,55.0,230
198,252,7th Phase JP Nagar,2,1270.0,2.0,93.0,6
199,254,others,2,1280.0,2.0,69.0,230
200,255,Horamavu Agara,4,1200.0,2.0,95.0,98
201,256,Sarjapur  Road,2,1025.0,2.0,36.0,194
202,257,Electronic City,2,1108.0,2.0,63.0,74
203,259,others,3,3045.0,3.0,170.0,230
204,261,Vijayanagar,3,1500.0,3.0,75.5,220
205,262,Raja Rajeshwari Nagar,2,1295.0,2.0,43.9,184
206,263,Budigere,2,1162.0,2.0,59.9,52
207,264,Sarjapur  Road,2,1035.0,2.0,49.2,194
208,265,Attibele,4,1600.0,4.0,52.8,21
209,266,others,3,1464.0,3.0,46.0,230
210,267,Hennur Road,3,1866.0,2.0,61.58,96
211,268,others,2,700.0,1.0,26.0,230
212,269,Kalena Agrahara,3,1804.0,3.0,120.0,121
213,270,Sarjapur,2,913.0,2.0,32.0,193
214,271,Talaghattapura,3,1868.0,3.0,131.0,208
215,272,Kengeri Satellite Town,2,883.0,2.0,45.0,136
216,274,Kogilu,3,1664.0,2.0,73.95,142
217,275,Hegde Nagar,3,2026.0,3.0,132.0,94
218,276,Balagere,2,1210.0,2.0,80.9,25
219,277,others,4,4111.0,4.0,250.0,230
220,278,Kadugodi,3,1762.0,3.0,91.45,117
221,279,Jigani,3,1252.0,3.0,55.0,113
222,280,Gollarapalya Hosahalli,2,861.0,2.0,34.5,81
223,281,7th Phase JP Nagar,3,1420.0,2.0,100.0,6
224,283,Electronics City Phase 1,3,1490.0,3.0,78.8,76
225,284,Bisuvanahalli,3,1075.0,2.0,46.0,46
226,285,Old Madras Road,3,1425.0,2.0,94.0,177
227,286,Kalena Agrahara,2,1200.0,2.0,40.0,121
228,287,Kaggadasapura,3,1280.0,2.0,56.0,118
229,288,others,2,1084.0,2.0,50.0,230
230,290,Kanakpura Road,2,1017.0,2.0,51.25,127
231,291,Haralur Road,2,1027.0,2.0,44.0,90
232,292,Electronic City Phase II,2,1069.0,2.0,45.0,75
233,293,Hebbal,2,1349.0,2.0,98.2,92
234,294,9th Phase JP Nagar,2,1005.0,2.0,50.0,8
235,295,Jakkur,2,1417.0,2.0,75.0,110
236,296,TC Palaya,3,1475.0,3.0,98.0,207
237,297,others,2,950.0,2.0,47.0,230
238,298,others,4,2000.0,4.0,120.0,230
239,300,Sarjapur  Road,4,1863.0,3.0,104.0,194
240,301,Singasandra,2,1010.0,2.0,29.5,201
241,302,Kalena Agrahara,3,1425.0,2.0,70.0,121
242,303,Vijayanagar,3,1450.0,3.0,100.0,220
243,304,Kothanur,3,1847.0,3.0,105.0,146
244,305,AECS Layout,2,1100.0,2.0,45.0,9
245,306,Kanakpura Road,1,525.0,1.0,26.0,127
246,307,Mallasandra,3,1665.0,3.0,95.0,158
247,308,Begur,4,1664.0,4.0,65.0,38
248,309,JP Nagar,3,1850.0,3.0,150.0,109
249,310,Panathur,2,1438.0,2.0,100.0,180
250,311,others,3,1560.0,3.0,115.0,230
251,312,Yelahanka,2,1350.0,2.0,55.55,226
252,313,Kanakpura Road,3,1550.0,3.0,67.0,127
253,314,Malleshpalya,2,1140.0,2.0,46.5,159
254,316,others,2,850.0,2.0,27.0,230
255,317,Whitefield,2,1280.0,2.0,75.0,224
256,318,Munnekollal,2,1170.0,2.0,52.0,164
257,319,others,2,1113.0,2.0,51.0,230
258,320,Hennur Road,2,1385.0,2.0,83.09,96
259,321,Electronic City,2,1128.0,2.0,65.0,74
260,326,Haralur Road,3,1464.0,3.0,56.0,90
261,327,others,2,1200.0,2.0,55.0,230
262,328,Kaval Byrasandra,2,1200.0,2.0,52.0,133
263,329,Kaggalipura,3,1150.0,2.0,55.0,119
264,330,others,3,1645.0,3.0,95.0,230
265,331,Sarjapur  Road,2,1000.0,2.0,67.0,194
266,332,Haralur Road,4,2650.0,4.0,198.0,90
267,333,6th Phase JP Nagar,2,1192.0,2.0,74.0,5
268,335,Whitefield,2,1173.0,2.0,58.0,224
269,336,Uttarahalli,2,1020.0,2.0,45.0,216
270,338,Somasundara Palya,3,1600.0,3.0,64.0,202
271,339,others,2,1200.0,2.0,79.0,230
272,340,others,2,1230.0,2.0,48.0,230
273,341,Devarachikkanahalli,2,1250.0,2.0,40.0,66
274,342,Kalena Agrahara,2,1325.0,2.0,76.0,121
275,343,7th Phase JP Nagar,3,1850.0,3.0,150.0,6
276,344,Kanakpura Road,1,525.0,2.0,21.53,127
277,345,Basaveshwara Nagar,2,1200.0,2.0,65.0,36
278,347,Bommasandra,3,1260.0,3.0,49.36,48
279,350,Ardendale,2,1100.0,2.0,43.25,19
280,351,Harlur,2,1508.0,2.0,77.0,91
281,352,others,3,1592.0,3.0,75.0,230
282,353,Akshaya Nagar,2,1388.0,2.0,57.0,11
283,354,Electronic City Phase II,1,630.0,1.0,28.35,75
284,356,others,3,1762.0,3.0,125.0,230
285,357,others,2,950.0,2.0,50.0,230
286,359,Magadi Road,2,1116.0,2.0,50.0,155
287,360,others,2,1308.0,2.0,89.04,230
288,361,others,3,1200.0,3.0,90.0,230
289,363,Bannerghatta Road,1,500.0,1.0,18.5,34
290,364,Hennur,2,1075.0,2.0,52.0,95
291,366,Bellandur,2,1205.0,2.0,66.0,40
292,367,5th Phase JP Nagar,2,1075.0,2.0,60.0,4
293,368,KR Puram,2,930.0,2.0,39.0,115
294,369,Balagere,2,1380.0,2.0,60.0,25
295,371,Kodigehaali,2,1166.0,2.0,55.0,139
296,372,Bannerghatta Road,2,1050.0,2.0,65.0,34
297,374,Begur Road,2,1200.0,2.0,46.8,39
298,375,Lakshminarayana Pura,3,1600.0,2.0,108.0,153
299,376,Billekahalli,3,1935.0,3.0,110.0,44
300,377,8th Phase JP Nagar,1,451.0,1.0,29.9,7
301,378,Electronic City,3,1800.0,3.0,95.0,74
302,379,Jalahalli,3,1400.0,3.0,77.0,111
303,380,Hegde Nagar,3,1801.0,3.0,115.0,94
304,381,Mahadevpura,2,1451.0,2.0,90.0,156
305,382,Anekal,2,1200.0,1.0,36.0,17
306,383,Begur Road,2,1160.0,2.0,44.0,39
307,385,Kanakpura Road,2,950.0,2.0,40.0,127
308,386,others,3,1629.0,3.0,79.0,230
309,388,Vijayanagar,3,1826.0,3.0,121.0,220
310,389,7th Phase JP Nagar,2,1245.0,2.0,94.0,6
311,390,Raja Rajeshwari Nagar,2,1145.0,2.0,45.79,184
312,391,Sompura,2,825.0,2.0,33.0,203
313,392,Yeshwanthpur,3,1693.0,3.0,108.0,229
314,393,Electronics City Phase 1,2,1113.27,2.0,53.0,76
315,394,others,2,1460.0,2.0,58.0,230
316,395,Doddathoguru,2,1050.0,2.0,32.0,70
317,396,Dodda Nekkundi,2,1260.0,2.0,55.0,67
318,398,Hosur Road,2,1656.0,2.0,120.0,104
319,399,Chandapura,3,1208.0,3.0,45.0,55
320,401,Whitefield,4,3252.0,4.0,230.0,224
321,402,Battarahalli,2,1200.0,2.0,65.0,37
322,404,7th Phase JP Nagar,2,1175.0,2.0,82.0,6
323,411,others,2,1185.0,2.0,38.0,230
324,412,Kengeri,2,750.0,2.0,38.0,135
325,414,Kanakpura Road,3,1550.0,3.0,64.5,127
326,415,others,3,1760.0,3.0,88.0,230
327,416,Billekahalli,2,1125.0,2.0,62.0,44
328,418,Anandapura,2,1000.0,2.0,55.0,15
329,420,TC Palaya,2,1200.0,2.0,60.0,207
330,421,Budigere,3,1991.0,4.0,103.0,52
331,423,Ambalipura,2,1105.0,2.0,75.0,12
332,424,Hoodi,2,985.0,2.0,67.0,97
333,426,Balagere,3,1590.0,3.0,79.0,25
334,427,CV Raman Nagar,2,1120.0,2.0,55.0,53
335,428,others,2,1069.0,2.0,55.0,230
336,429,Marathahalli,3,1933.0,3.0,140.0,161
337,430,Hosur Road,2,1194.0,2.0,69.0,104
338,431,Brookefield,2,1150.0,2.0,69.0,51
339,432,Yelenahalli,2,1240.0,2.0,47.12,228
340,433,Raja Rajeshwari Nagar,2,1419.0,2.0,48.1,184
341,436,others,3,1450.0,3.0,55.0,230
342,437,others,3,1630.0,3.0,68.29,230
343,438,Dasanapura,2,708.0,1.0,40.0,63
344,440,Whitefield,4,11890.0,4.0,700.0,224
345,441,Bellandur,2,1250.0,2.0,76.0,40
346,442,7th Phase JP Nagar,3,1400.0,2.0,95.0,6
347,443,Sarjapur  Road,3,1670.0,2.0,57.0,194
348,444,Ardendale,3,1750.0,3.0,100.0,19
349,445,Vittasandra,2,1404.0,2.0,71.0,223
350,446,Hoodi,3,1715.0,2.0,95.0,97
351,447,Electronic City,1,630.0,1.0,34.65,74
352,448,Harlur,3,1752.12,3.0,135.0,91
353,449,Hulimavu,3,1650.0,3.0,78.0,105
354,450,Raja Rajeshwari Nagar,2,1295.0,2.0,55.47,184
355,452,Sarjapur  Road,2,1346.0,2.0,74.03,194
356,454,Hormavu,2,1150.0,2.0,55.0,100
357,457,AECS Layout,3,1620.0,3.0,98.0,9
358,458,Marathahalli,2,950.0,2.0,46.96,161
359,460,Harlur,3,2450.0,3.0,120.0,91
360,462,others,2,850.0,2.0,30.0,230
361,463,Padmanabhanagar,2,1020.0,2.0,63.0,178
362,464,Chikkalasandra,2,1100.0,2.0,50.0,59
363,466,Hebbal,3,1760.0,2.0,130.0,92
364,467,Ambalipura,3,1800.0,3.0,110.0,12
365,468,Akshaya Nagar,2,1070.0,2.0,54.0,11
366,470,Vidyaranyapura,2,1440.0,2.0,95.0,219
367,471,Amruthahalli,2,900.0,2.0,40.0,14
368,473,Whitefield,2,1130.0,2.0,42.16,224
369,475,Kodigehalli,2,1270.0,2.0,98.0,140
370,476,others,2,1200.0,2.0,62.0,230
371,477,others,4,4800.0,4.0,235.0,230
372,478,others,2,1200.0,2.0,74.0,230
373,479,Subramanyapura,2,929.0,2.0,50.17,205
374,484,others,3,1464.0,3.0,56.0,230
375,486,others,4,2000.0,4.0,99.0,230
376,487,Chikkalasandra,2,1208.0,2.0,49.0,59
377,488,Hebbal Kempapura,2,1130.0,2.0,60.0,93
378,489,others,3,1753.0,3.0,120.0,230
379,492,Hoodi,2,1196.0,2.0,94.42,97
380,493,5th Phase JP Nagar,2,1150.0,3.0,52.5,4
381,494,Electronic City,2,1128.0,2.0,63.0,74
382,495,others,2,1000.0,2.0,53.0,230
383,496,Yelahanka,2,1035.0,2.0,45.0,226
384,497,Kereguddadahalli,2,950.0,2.0,32.0,137
385,498,Bisuvanahalli,3,1075.0,2.0,36.0,46
386,499,Whitefield,2,1040.0,2.0,48.5,224
387,500,others,2,720.0,2.0,45.0,230
388,501,Lingadheeranahalli,3,1511.0,3.0,95.0,154
389,502,others,3,1300.0,3.0,58.0,230
390,503,Hoodi,3,1545.0,3.0,68.75,97
391,504,Shampura,1,375.0,2.0,26.0,199
392,505,Vidyaranyapura,2,1062.0,2.0,38.0,219
393,506,others,2,1115.0,2.0,40.0,230
394,507,JP Nagar,2,1000.0,2.0,35.0,109
395,508,Kambipura,2,883.0,2.0,45.0,123
396,509,Sarjapur  Road,2,1195.0,2.0,70.0,194
397,511,others,1,700.0,1.0,41.0,230
398,512,Vittasandra,2,1246.0,2.0,67.0,223
399,515,others,4,1600.0,4.0,80.0,230
400,516,Haralur Road,4,2805.0,5.0,154.0,90
401,517,Begur Road,3,1584.0,3.0,65.0,39
402,519,Hosur Road,3,1175.0,2.0,48.0,104
403,520,others,3,1595.0,3.0,115.0,230
404,521,others,2,1353.0,2.0,110.0,230
405,522,Electronic City,3,1599.0,3.0,125.0,74
406,523,Whitefield,2,1150.0,2.0,70.0,224
407,525,KR Puram,2,1155.0,2.0,42.74,115
408,526,others,1,1200.0,2.0,85.0,230
409,528,Thanisandra,4,3000.0,4.0,120.0,209
410,530,Ramagondanahalli,2,1251.0,2.0,47.0,187
411,531,others,2,1028.0,2.0,45.5,230
412,532,Arekere,2,1222.0,2.0,45.0,20
413,533,Bannerghatta Road,3,1170.0,2.0,66.0,34
414,535,others,3,1385.0,2.0,48.48,230
415,536,HSR Layout,2,1372.0,2.0,68.0,89
416,537,Magadi Road,3,1282.0,2.0,49.0,155
417,540,Kanakpura Road,2,1135.0,2.0,39.73,127
418,541,Whitefield,3,1768.0,3.0,101.0,224
419,542,others,3,1325.0,2.0,90.0,230
420,543,Electronic City,3,1599.0,3.0,99.0,74
421,544,Whitefield,3,1500.0,3.0,61.95,224
422,546,Uttarahalli,2,1286.0,2.0,63.0,216
423,547,Kammanahalli,5,2845.0,5.0,140.0,124
424,548,others,3,1600.0,2.0,50.0,230
425,549,Hennur Road,2,1317.5,2.0,63.77,96
426,551,Munnekollal,2,1102.0,2.0,53.67,164
427,552,Yelahanka,2,1350.0,2.0,54.0,226
428,553,Banashankari,3,1200.0,2.0,42.0,26
429,555,others,2,1800.0,1.0,80.0,230
430,556,Chikkabanavar,2,950.0,2.0,40.0,58
431,557,Kanakpura Road,1,525.0,1.0,27.25,127
432,558,Attibele,2,656.0,2.0,25.0,21
433,560,others,2,1056.0,2.0,80.0,230
434,561,Bannerghatta Road,1,595.0,1.0,33.32,34
435,562,others,2,1080.0,2.0,50.0,230
436,563,7th Phase JP Nagar,3,2225.0,3.0,160.0,6
437,565,Electronics City Phase 1,3,1490.0,3.0,84.0,76
438,567,Sarjapur  Road,3,1550.0,3.0,100.0,194
439,568,Sarjapur  Road,3,1600.0,3.0,86.0,194
440,569,others,2,1160.0,2.0,55.0,230
441,570,Whitefield,4,4144.0,4.0,315.0,224
442,571,Sarjapur  Road,3,2100.0,3.0,125.0,194
443,572,Vittasandra,2,1404.0,2.0,69.3,223
444,574,others,3,1544.0,3.0,120.0,230
445,575,Banashankari Stage III,3,1305.0,2.0,58.7,28
446,576,Marathahalli,2,1230.0,2.0,80.0,161
447,577,others,2,1200.0,2.0,65.0,230
448,578,Harlur,3,1460.0,3.0,73.0,91
449,580,Gottigere,2,967.0,2.0,45.0,82
450,581,others,1,540.0,1.0,36.0,230
451,582,Hormavu,1,715.0,1.0,46.0,100
452,585,Mysore Road,2,1020.0,2.0,48.95,166
453,586,Jigani,2,1020.0,2.0,40.0,113
454,587,Koramangala,2,1253.0,2.0,102.0,144
455,588,others,2,1180.0,2.0,42.0,230
456,589,Nehru Nagar,2,961.0,2.0,38.0,174
457,590,Kanakapura,3,1419.0,3.0,75.0,126
458,592,others,2,1600.0,2.0,115.0,230
459,593,others,1,416.0,1.0,18.5,230
460,595,HSR Layout,3,1430.0,2.0,65.0,89
461,596,others,2,1260.0,2.0,45.0,230
462,597,others,3,1630.0,3.0,85.0,230
463,598,Sarjapur  Road,3,1249.0,3.0,44.71,194
464,599,Kalena Agrahara,3,1450.0,2.0,85.0,121
465,600,Konanakunte,3,2791.0,3.0,223.0,143
466,602,others,1,834.0,1.0,60.0,230
467,603,others,3,1125.0,4.0,70.0,230
468,604,Arekere,3,2060.0,3.0,140.0,20
469,607,Raja Rajeshwari Nagar,2,1133.0,2.0,49.07,184
470,608,Bisuvanahalli,3,1075.0,2.0,37.0,46
471,611,Vidyaranyapura,2,1200.0,2.0,55.0,219
472,612,Thanisandra,2,1075.0,2.0,45.8,209
473,613,Kaggadasapura,2,1140.0,2.0,40.0,118
474,616,Raja Rajeshwari Nagar,2,1090.0,2.0,42.0,184
475,617,R.T. Nagar,4,1500.0,4.0,70.0,182
476,619,Whitefield,3,1790.0,3.0,100.0,224
477,620,Hebbal,3,1920.0,3.0,134.0,92
478,621,HRBR Layout,2,1374.0,2.0,95.0,88
479,622,Bannerghatta Road,3,1445.0,3.0,95.0,34
480,623,Kanakapura,1,711.0,1.0,36.0,126
481,624,Tumkur Road,3,1500.0,3.0,95.0,214
482,625,Whitefield,3,1720.0,3.0,100.0,224
483,626,others,3,1400.0,3.0,60.0,230
484,627,Kundalahalli,2,1030.0,2.0,49.0,150
485,628,Mysore Road,2,1200.0,2.0,85.0,166
486,629,others,3,1375.0,3.0,70.0,230
487,630,Hegde Nagar,2,1050.0,1.0,56.0,94
488,631,Jalahalli,3,2250.0,3.0,160.0,111
489,632,Bellandur,2,1000.0,2.0,50.0,40
490,633,others,1,469.0,1.0,25.0,230
491,634,Marathahalli,4,3800.0,4.0,250.0,161
492,635,Kambipura,2,883.0,2.0,29.0,123
493,636,GM Palaya,3,1820.0,2.0,86.0,78
494,637,Singasandra,3,1440.0,2.0,65.0,201
495,638,others,6,3600.0,4.0,160.0,230
496,640,Mahadevpura,2,1225.0,2.0,48.0,156
497,642,Chikkalasandra,2,875.0,2.0,52.8,59
498,643,Jalahalli East,1,750.0,1.0,40.0,112
499,644,6th Phase JP Nagar,2,1180.0,2.0,80.0,5
500,645,Haralur Road,2,1194.0,2.0,47.0,90
501,646,Hennur Road,3,1500.0,2.0,62.0,96
502,647,others,2,1160.0,2.0,52.2,230
503,650,Sarjapur,2,1128.0,2.0,60.0,193
504,653,Sarjapur  Road,2,1210.0,2.0,58.0,194
505,654,Kanakpura Road,3,1100.0,2.0,58.0,127
